;;;;Hide:;Area:;LEAP Sweden 2026 07 08 CGH;Ver:;2

;Branch Path;Variable;Scenario;Region;Units;Per...;Method;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
x;Koldioxidbudgetar;IPCC GWP Values;Lokal miljöhänsyn;Sverige;procent;;Interp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Key\Befolkning\Befolkning;Activity Level;Lokal miljöhänsyn;Sverige;;;Interp;10508391.25;10564457;10575392;10602310;10625739;10649168;10672597;10696026;10719455;10748284;10777112;10805941;10834770;10863599;10892427;10921256;10950085;10978913;11007742;11042355;11076967;11111580;11146192;11180805;11215417;11250030;11284642;11319255;11353867;11379702;11405536;11431371;11457206;11483041;11508875;11534710;11560545;11586379;11612214
;Key\Energiomvandlingsanläggningar\Insatta bränslen för elproduktion\Biobränslen;Activity Level;Lokal miljöhänsyn;Sverige;TWh;;Interp;13.614000000000001;15.2;15.6;16;16;16;16;16;16;15.8;15.6;15.4;15.2;15;15.2;15.4;15.6;15.8;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16
;Key\Energiomvandlingsanläggningar\Insatta bränslen för elproduktion\Avfall förnybart;Activity Level;Lokal miljöhänsyn;Sverige;TWh;;Interp;3.7189999999999999;1.5999999999999999;1.5;1.4;1.44;1.48;1.52;1.56;1.6;1.6;1.6;1.6;1.6;1.6;1.62;1.6400000000000001;1.66;1.68;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7
;Key\Energiomvandlingsanläggningar\Insatta bränslen för elproduktion\Avfall fossilt;Activity Level;Lokal miljöhänsyn;Sverige;TWh;;Interp;0.35099999999999998;1.46;1.38;1.3;1.34;1.3800000000000001;1.42;1.46;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.52;1.54;1.56;1.58;1.6;1.58;1.56;1.54;1.52;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5
;Key\Energiomvandlingsanläggningar\Insatta bränslen för elproduktion\Torv;Activity Level;Lokal miljöhänsyn;Sverige;TWh;;Interp;7.4999999999999997E-2;8.2100000000000006E-2;7.8399999999999997E-2;7.4899999999999994E-2;7.4899999999999994E-2;7.4899999999999994E-2;7.4899999999999994E-2;7.4899999999999994E-2;7.4899999999999994E-2;7.4899999999999994E-2;7.4899999999999994E-2;7.4899999999999994E-2;7.4899999999999994E-2;7.4899999999999994E-2;7.4899999999999994E-2;7.4899999999999994E-2;7.4899999999999994E-2;7.4899999999999994E-2;7.4899999999999994E-2;7.4899999999999994E-2;7.4899999999999994E-2;7.4899999999999994E-2;7.4899999999999994E-2;7.4899999999999994E-2;7.4899999999999994E-2;7.4899999999999994E-2;7.4899999999999994E-2;7.4899999999999994E-2;7.4899999999999994E-2;7.4899999999999994E-2;7.4899999999999994E-2;7.4899999999999994E-2;7.4899999999999994E-2;7.4899999999999994E-2;7.4899999999999994E-2;7.4899999999999994E-2;7.4899999999999994E-2;7.4899999999999994E-2;7.4899999999999994E-2
;Key\Energiomvandlingsanläggningar\Insatta bränslen för elproduktion\Naturgas;Activity Level;Lokal miljöhänsyn;Sverige;TWh;;Interp;0.108;0.22755;0.221025;0.2145;0.20935999999999999;0.20421999999999998;0.19908000000000001;0.19394;0.1888;0.1817;0.17460000000000001;0.16749999999999998;0.16039999999999999;0.15329999999999999;0.15329999999999999;0.15329999999999999;0.15329999999999999;0.15329999999999999;0.15329999999999999;0.14828;0.14326;0.13824;0.13322000000000001;0.12820000000000001;0.12236000000000001;0.11652000000000001;0.11068;0.10484;9.9000000000000005E-2;9.9000000000000005E-2;9.9000000000000005E-2;9.9000000000000005E-2;9.9000000000000005E-2;9.9000000000000005E-2;9.9000000000000005E-2;9.9000000000000005E-2;9.9000000000000005E-2;9.9000000000000005E-2;9.9000000000000005E-2
;Key\Energiomvandlingsanläggningar\Insatta bränslen för elproduktion\Hyttgaser;Activity Level;Lokal miljöhänsyn;Sverige;TWh;;Interp;1.1240000000000001;1.0586;1.0301;1.0016;0.90600000000000003;0.81040000000000001;0.71479999999999999;0.61919999999999997;0.52359999999999995;0.41889999999999994;0.31419999999999992;0.20949999999999996;0.10479999999999995;1E-4;1E-4;1E-4;1E-4;1E-4;1E-4;1E-4;1E-4;1E-4;1E-4;1E-4;1E-4;1E-4;1E-4;1E-4;1E-4;1E-4;1E-4;1E-4;1E-4;1E-4;1E-4;1E-4;1E-4;1E-4;1E-4
;Key\Energiomvandlingsanläggningar\Insatta bränslen för elproduktion\Kol;Activity Level;Lokal miljöhänsyn;Sverige;TWh;;Interp;2E-3;5.7000000000000002E-3;4.5999999999999999E-3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Key\Energiomvandlingsanläggningar\Insatta bränslen för elproduktion\Eldningsolja 1;Activity Level;Lokal miljöhänsyn;Sverige;TWh;;Interp;0.10299999999999999;0.15709999999999999;0.14269999999999999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
